title,genres,actors,director
Hotel for Dogs,Comedy Family,Emma Roberts Jake T. Austin Don Cheadle,Thor Freudenthal
Vertical Limit,Action Adventure Thriller,Chris O'Donnell Robin Tunney Bill Paxton,Martin Campbell
Charlie Wilson's War,Comedy Drama History,Tom Hanks Philip Seymour Hoffman Julia Roberts,Mike Nichols
Shark Tale,Animation Action Comedy Family,Will Smith Robert De Niro Renée Zellweger,Vicky Jenson
Dreamgirls,Drama,Jamie Foxx Beyoncé Knowles Eddie Murphy,Bill Condon
Be Cool,Comedy Crime,John Travolta Uma Thurman Vince Vaughn,F. Gary Gray
Munich,Drama Action History Thriller,Eric Bana Daniel Craig Ciarán Hinds,Steven Spielberg
Tears of the Sun,Action Drama War,Bruce Willis Monica Bellucci Cole Hauser,Antoine Fuqua
Killers,Action Comedy Thriller Romance,Katherine Heigl Ashton Kutcher Tom Selleck,Robert Luketic
The Man from U.N.C.L.E.,Comedy Action Adventure,Henry Cavill Armie Hammer Alicia Vikander,Guy Ritchie
Spanglish,Comedy,Adam Sandler Téa Leoni Paz Vega,James L. Brooks
Monster House,Animation Comedy Family Fantasy,Ryan Newman Steve Buscemi Mitchel Musso,Gil Kenan
Bandits,Action Comedy Crime Romance,Bruce Willis Billy Bob Thornton Cate Blanchett,Barry Levinson
First Knight,Action Adventure Drama Romance,Sean Connery Richard Gere Julia Ormond,Jerry Zucker
Anna and the King,Drama History Romance,Jodie Foster Chow Yun-fat Bai Ling,Andy Tennant
Immortals,Fantasy Action Drama,Mickey Rourke Kellan Lutz Isabel Lucas,Tarsem Singh
Hostage,Mystery Drama Thriller Crime,Bruce Willis Kevin Pollak Jimmy Bennett,Florent-Emilio Siri
Titan A.E.,Animation Action Science Fiction Family Adventure,Matt Damon Bill Pullman Drew Barrymore,Gary Goldman
Hollywood Homicide,Action Adventure Comedy Thriller,Harrison Ford Josh Hartnett Lena Olin,Ron Shelton
Soldier,Action War Science Fiction,Kurt Russell Jason Scott Lee Jason Isaacs,Paul W.S. Anderson
Carriers,Action Drama Horror Science Fiction Thriller,Lou Taylor Pucci Chris Pine Piper Perabo,Àlex Pastor
Monkeybone,Adventure Fantasy Animation Action Comedy,Brendan Fraser Bridget Fonda John Turturro,Henry Selick
Flight of the Phoenix,Action Adventure Drama Thriller,Dennis Quaid Tyrese Gibson Giovanni Ribisi,John Moore
Unbreakable,Science Fiction Thriller Drama,Bruce Willis Samuel L. Jackson Robin Wright,M. Night Shyamalan
Minions,Family Animation Adventure Comedy,Sandra Bullock Jon Hamm Michael Keaton,Kyle Balda
Sucker Punch,Action Fantasy Thriller,Emily Browning Abbie Cornish Jena Malone,Zack Snyder
Snake Eyes,Crime Mystery,Nicolas Cage Gary Sinise John Heard,Brian De Palma
Sphere,Science Fiction,Dustin Hoffman Sharon Stone Samuel L. Jackson,Barry Levinson
The Angry Birds Movie,Family Animation,Jason Sudeikis Josh Gad Danny McBride,Fergal Reilly
Fool's Gold,Romance Comedy Adventure,Matthew McConaughey Kate Hudson Donald Sutherland,Andy Tennant
Funny People,Comedy Drama,Adam Sandler Seth Rogen Leslie Mann,Judd Apatow
The Kingdom,Thriller Action Drama,Jamie Foxx Jennifer Garner Chris Cooper,Peter Berg
Talladega Nights: The Ballad of Ricky Bobby,Comedy,Will Ferrell John C. Reilly Sacha Baron Cohen,Adam McKay
Dr. Dolittle 2,Comedy Family Romance Fantasy,Eddie Murphy Kristen Wilson Raven-Symoné,Steve Carr
Braveheart,Action Drama History War,Mel Gibson Catherine McCormack Sophie Marceau,Mel Gibson
Jarhead,Drama War,Jamie Foxx Jake Gyllenhaal Scott MacDonald,Sam Mendes
The Simpsons Movie,Animation Comedy Family,Dan Castellaneta Julie Kavner Nancy Cartwright,David Silverman
The Majestic,Drama Romance,Jim Carrey Martin Landau Laurie Holden,Frank Darabont
Driven,Action,Kip Pardue Robert Sean Leonard Til Schweiger,Renny Harlin
Deux frères,Adventure Drama Family,Maï Anh Le Guy Pearce Oanh Nguyen,Jean-Jacques Annaud
The Village,Drama Mystery Thriller,Bryce Dallas Howard Joaquin Phoenix Adrien Brody,M. Night Shyamalan
Doctor Dolittle,Comedy Family Fantasy,Eddie Murphy Ossie Davis Oliver Platt,Betty Thomas
Signs,Drama Thriller Science Fiction Mystery,Mel Gibson Joaquin Phoenix Rory Culkin,M. Night Shyamalan
Shrek 2,Adventure Animation Comedy Family Fantasy,Mike Myers Eddie Murphy Cameron Diaz,Andrew Adamson
Cars,Animation Adventure Comedy Family,Owen Wilson Paul Newman Bonnie Hunt,John Lasseter
Runaway Bride,Comedy Romance,Julia Roberts Richard Gere Joan Cusack,Garry Marshall
xXx,Action Adventure Thriller,Vin Diesel Asia Argento Samuel L. Jackson,Rob Cohen
The SpongeBob Movie: Sponge Out of Water,Animation Adventure Comedy Family,Tom Kenny Bill Fagerbakke Rodger Bumpass,Paul Tibbitt
Ransom,Action Thriller,Mel Gibson Gary Sinise Delroy Lindo,Ron Howard
Inglourious Basterds,Drama Action Thriller War,Brad Pitt Mélanie Laurent Christoph Waltz,Quentin Tarantino
Hook,Adventure Fantasy Comedy Family,Robin Williams Dustin Hoffman Julia Roberts,Steven Spielberg
Die Hard 2,Action Thriller,Bruce Willis Bonnie Bedelia William Atherton,Renny Harlin
S.W.A.T.,Action Thriller Crime,Samuel L. Jackson Colin Farrell Michelle Rodriguez,Clark Johnson
Vanilla Sky,Drama Mystery Romance Science Fiction Thriller,Tom Cruise Penélope Cruz Cameron Diaz,Cameron Crowe
Lady in the Water,Drama Thriller Fantasy Mystery,Paul Giamatti Jeffrey Wright Bob Balaban,M. Night Shyamalan
AVP: Alien vs. Predator,Adventure Science Fiction Action,Sanaa Lathan Raoul Bova Ewen Bremner,Paul W.S. Anderson
Alvin and the Chipmunks: The Squeakquel,Comedy Family Animation Fantasy Music,Zachary Levi David Cross Jason Lee,Betty Thomas
We Were Soldiers,Action History War,Mel Gibson Greg Kinnear Madeleine Stowe,Randall Wallace
Olympus Has Fallen,Action Thriller,Gerard Butler Aaron Eckhart Angela Bassett,Antoine Fuqua
Star Trek: Insurrection,Science Fiction Action Adventure Thriller,Patrick Stewart Jonathan Frakes Brent Spiner,Jonathan Frakes
Battle: Los Angeles,Action Science Fiction,Aaron Eckhart Ramón Rodríguez Will Rothhaar,Jonathan Liebesman
Big Fish,Adventure Fantasy Drama,Ewan McGregor Albert Finney Billy Crudup,Tim Burton
Wolf,Fantasy,Jack Nicholson Christopher Plummer James Spader,Mike Nichols
War Horse,Drama War,Tom Hiddleston Benedict Cumberbatch Toby Kebbell,Steven Spielberg
The Monuments Men,War Drama History Action,Matt Damon Cate Blanchett George Clooney,George Clooney
The Abyss,Adventure Action Thriller Science Fiction,Ed Harris Mary Elizabeth Mastrantonio Michael Biehn,James Cameron
Wall Street: Money Never Sleeps,Drama Crime,Michael Douglas Shia LaBeouf Josh Brolin,Oliver Stone
Dracula Untold,Horror Action Drama Fantasy War,Luke Evans Sarah Gadon Dominic Cooper,Gary Shore
The Siege,Drama Action Thriller Crime,Denzel Washington Annette Bening Bruce Willis,Edward Zwick
Stardust,Adventure Fantasy Romance Family,Claire Danes Charlie Cox Michelle Pfeiffer,Matthew Vaughn
Seven Years in Tibet,Adventure Drama History,Brad Pitt Jamyang Jamtsho Wangchuk David Thewlis,Jean-Jacques Annaud
The Dilemma,Comedy Drama,Kevin James Vince Vaughn Winona Ryder,Ron Howard
Bad Company,Action Adventure Comedy Thriller,Anthony Hopkins Chris Rock Peter Stormare,Joel Schumacher
Doom,Adventure Action Horror,Dwayne Johnson Karl Urban Rosamund Pike,Andrzej Bartkowiak
I Spy,Action Adventure Comedy Thriller,Eddie Murphy Owen Wilson Famke Janssen,Betty Thomas
Underworld: Awakening,Fantasy Action Horror,Kate Beckinsale Stephen Rea Michael Ealy,Måns Mårlind
Rock of Ages,Comedy Drama Music Romance,Julianne Hough Diego Boneta Tom Cruise,Adam Shankman
Hart's War,Drama War,Bruce Willis Colin Farrell Terrence Howard,Gregory Hoblit
Killer Elite,Action Adventure Thriller,Jason Statham Clive Owen Robert De Niro,Gary McKendry
Rollerball,Action Science Fiction Thriller,Chris Klein LL Cool J Rebecca Romijn,John McTiernan
Ballistic: Ecks vs. Sever,Action Adventure Thriller,Antonio Banderas Lucy Liu Gregg Henry,Wych Kaosayananda
Hard Rain,Thriller,Morgan Freeman Christian Slater Randy Quaid,Mikael Salomon
Osmosis Jones,Adventure Animation Action Comedy Family,Chris Rock Laurence Fishburne David Hyde Pierce,Bobby Farrelly
Legends of Oz: Dorothy's Return,Animation Music Family,Lea Michele Dan Aykroyd Patrick Stewart,Dan St. Pierre
Blackhat,Crime Drama Mystery,Chris Hemsworth Leehom Wang Tang Wei,Michael Mann
Sky Captain and the World of Tomorrow,Mystery Action Thriller Science Fiction Adventure,Jude Law Gwyneth Paltrow Giovanni Ribisi,Kerry Conran
Basic Instinct 2,Crime Mystery Thriller,Sharon Stone David Morrissey Charlotte Rampling,Michael Caton-Jones
Escape Plan,Action Thriller,Sylvester Stallone Arnold Schwarzenegger Jim Caviezel,Mikael Håfström
The Legend of Hercules,Action Adventure,Kellan Lutz Liam McIntyre Gaia Weiss,Renny Harlin
The Sum of All Fears,Thriller Action Drama,Ben Affleck Morgan Freeman James Cromwell,Phil Alden Robinson
The Twilight Saga: Eclipse,Adventure Fantasy Drama Romance,Kristen Stewart Robert Pattinson Taylor Lautner,David Slade
The Score,Action Crime Thriller,Robert De Niro Edward Norton Marlon Brando,Frank Oz
Despicable Me,Animation Family,Steve Carell Jason Segel Russell Brand,Pierre Coffin
Money Train,Action Comedy Crime,Wesley Snipes Woody Harrelson Jennifer Lopez,Joseph Ruben
Ted 2,Comedy,Mark Wahlberg Seth MacFarlane Amanda Seyfried,Seth MacFarlane
Agora,Adventure Drama History,Rachel Weisz Max Minghella Oscar Isaac,Alejandro Amenábar
Mystery Men,Adventure Fantasy Action Comedy Science Fiction,Ben Stiller Geoffrey Rush Claire Forlani,Kinka Usher
Hall Pass,Comedy,Owen Wilson Jason Sudeikis Jenna Fischer,Bobby Farrelly
The Insider,Drama Thriller,Al Pacino Russell Crowe Christopher Plummer,Michael Mann
The Finest Hours,Action Drama History Thriller,Chris Pine Casey Affleck Ben Foster,Craig Gillespie
Body of Lies,Action Drama Thriller,Leonardo DiCaprio Russell Crowe Mark Strong,Ridley Scott
Dinner for Schmucks,Comedy,Steve Carell Paul Rudd Stephanie Szostak,Jay Roach
Abraham Lincoln: Vampire Hunter,Action Fantasy Horror,Benjamin Walker Dominic Cooper Anthony Mackie,Timur Bekmambetov
Entrapment,Romance Drama Mystery,Sean Connery Catherine Zeta-Jones Will Patton,Jon Amiel
The X Files,Mystery Science Fiction Thriller,David Duchovny Gillian Anderson Mitch Pileggi,Rob Bowman
The Last Legion,Action Adventure Fantasy War,Colin Firth Ben Kingsley Aishwarya Rai Bachchan,Doug Lefler
Saving Private Ryan,Drama History War,Tom Hanks Matt Damon Vin Diesel,Steven Spielberg
Need for Speed,Action Crime Drama Thriller,Aaron Paul Dominic Cooper Imogen Poots,Scott Waugh
What Women Want,Comedy Romance,Helen Hunt Mel Gibson Marisa Tomei,Nancy Meyers
Ice Age,Animation Comedy Family Adventure,Ray Romano John Leguizamo Denis Leary,Chris Wedge
Dreamcatcher,Drama Horror Science Fiction Thriller,Morgan Freeman Thomas Jane Jason Lee,Lawrence Kasdan
Lincoln,History Drama,Daniel Day-Lewis Sally Field David Strathairn,Steven Spielberg
The Matrix,Action Science Fiction,Keanu Reeves Laurence Fishburne Carrie-Anne Moss,Lilly Wachowski
Apollo 13,Drama,Tom Hanks Bill Paxton Kevin Bacon,Ron Howard
The Santa Clause 2,Fantasy Comedy Family,Tim Allen Elizabeth Mitchell David Krumholtz,Michael Lembeck
Les Misérables,Drama Music Romance,Hugh Jackman Russell Crowe Anne Hathaway,Tom Hooper
You've Got Mail,Comedy Romance,Tom Hanks Meg Ryan Katie Sagona,Nora Ephron
Step Brothers,Comedy,Will Ferrell John C. Reilly Mary Steenburgen,Adam McKay
The Mask of Zorro,Action Adventure,Antonio Banderas Anthony Hopkins Catherine Zeta-Jones,Martin Campbell
Due Date,Comedy Drama,Robert Downey Jr. Zach Galifianakis Michelle Monaghan,Todd Phillips
Unbroken,Drama War,Jack O'Connell Domhnall Gleeson Garrett Hedlund,Angelina Jolie
Space Cowboys,Action Adventure Thriller,Clint Eastwood Tommy Lee Jones Donald Sutherland,Clint Eastwood
Cliffhanger,Action Adventure Thriller,Sylvester Stallone John Lithgow Michael Rooker,Renny Harlin
Broken Arrow,Action Adventure Drama Thriller,John Travolta Christian Slater Samantha Mathis,John Woo
The Kid,Fantasy Comedy Family,Bruce Willis Spencer Breslin Emily Mortimer,Jon Turteltaub
World Trade Center,Drama History Thriller,Nicolas Cage Maria Bello Maggie Gyllenhaal,Oliver Stone
Mona Lisa Smile,Drama Romance,Julia Roberts Kirsten Dunst Julia Stiles,Mike Newell
The Dictator,Comedy,Sacha Baron Cohen Sayed Badreya Aasif Mandvi,Larry Charles
Eyes Wide Shut,Mystery Drama,Tom Cruise Nicole Kidman Madison Eginton,Stanley Kubrick
Annie,Comedy Drama Family,Quvenzhané Wallis Jamie Foxx Rose Byrne,Will Gluck
Focus,Romance Comedy Crime Drama,Will Smith Margot Robbie Rodrigo Santoro,Glenn Ficarra
This Means War,Action Comedy Romance,Reese Witherspoon Chris Pine Tom Hardy,McG
Blade: Trinity,Science Fiction Action Horror Thriller Adventure Fantasy,Wesley Snipes Kris Kristofferson Dominic Purcell,David S. Goyer
Red Dawn,Action Thriller,Patrick Swayze C. Thomas Howell Lea Thompson,John Milius
Primary Colors,Comedy Drama,John Travolta Emma Thompson Billy Bob Thornton,Mike Nichols
Resident Evil: Retribution,Action Horror Science Fiction,Milla Jovovich Sienna Guillory Michelle Rodriguez,Paul W.S. Anderson
Death Race,Action Thriller Science Fiction,Jason Statham Joan Allen Ian McShane,Paul W.S. Anderson
The Long Kiss Goodnight,Crime Action Mystery Thriller,Geena Davis Samuel L. Jackson Yvonne Zima,Renny Harlin
Proof of Life,Action Adventure Drama Romance Thriller,Meg Ryan Russell Crowe David Morse,Taylor Hackford
Zathura: A Space Adventure,Family Fantasy Science Fiction Adventure,Jonah Bobo Josh Hutcherson Dax Shepard,Jon Favreau
Fight Club,Drama,Edward Norton Brad Pitt Meat Loaf,David Fincher
We Are Marshall,Drama,Matthew McConaughey Matthew Fox Anthony Mackie,McG
Hudson Hawk,Action Adventure Comedy,Bruce Willis Danny Aiello Andie MacDowell,Michael Lehmann
Lucky Numbers,Action Adventure Comedy Crime Romance Thriller,John Travolta Lisa Kudrow Tim Roth,Nora Ephron
"I, Frankenstein",Horror Thriller,Aaron Eckhart Yvonne Strahovski Bill Nighy,Stuart Beattie
Oliver Twist,Crime Drama Family,Barney Clark Ben Kingsley Jamie Foreman,Roman Polanski
Elektra,Action Fantasy,Jennifer Garner Goran Visnjic Will Yun Lee,Rob Bowman
Sin City: A Dame to Kill For,Crime Thriller,Mickey Rourke Jessica Alba Josh Brolin,Robert Rodriguez
Random Hearts,Drama Romance,Harrison Ford Kristin Scott Thomas Charles S. Dutton,Sydney Pollack
Everest,Adventure Drama,Jason Clarke Jake Gyllenhaal Josh Brolin,Baltasar Kormákur
Perfume: The Story of a Murderer,Crime Fantasy Drama,Ben Whishaw Simon Chandler David Calder,Tom Tykwer
Austin Powers in Goldmember,Comedy Crime Science Fiction,Mike Myers Beyoncé Knowles Seth Green,Jay Roach
Astro Boy,Animation Action Family Science Fiction,Nicolas Cage Kristen Bell Bill Nighy,David Bowers
Jurassic Park,Adventure Science Fiction,Sam Neill Laura Dern Jeff Goldblum,Steven Spielberg
Wyatt Earp,Drama Action Western,Kevin Costner Dennis Quaid Gene Hackman,Lawrence Kasdan
Clear and Present Danger,Action Drama Thriller,Harrison Ford Willem Dafoe Anne Archer,Phillip Noyce
天將雄師,Action Drama Adventure,Jackie Chan John Cusack Adrien Brody,Daniel Lee
Little Man,Comedy Crime,Marlon Wayans Shawn Wayans Kerry Washington,Keenen Ivory Wayans
U-571,Action Drama Thriller War,Matthew McConaughey Bill Paxton Harvey Keitel,Jonathan Mostow
The American President,Comedy Drama Romance,Michael Douglas Annette Bening Michael J. Fox,Rob Reiner
The Love Guru,Comedy Romance,Mike Myers Jessica Alba Justin Timberlake,Marco Schnabel
3000 Miles to Graceland,Action Adventure Comedy Thriller Crime,Kurt Russell Kevin Costner Courteney Cox,Demian Lichtenstein
The Hateful Eight,Crime Drama Mystery Western,Samuel L. Jackson Kurt Russell Jennifer Jason Leigh,Quentin Tarantino
Blades of Glory,Action Comedy Drama,Will Ferrell Jon Heder Will Arnett,Josh Gordon
Hop,Animation Comedy Family,Russell Brand James Marsden Kaley Cuoco,Tim Hill
300,Action Adventure War,Gerard Butler Lena Headey Dominic West,Zack Snyder
Meet the Fockers,Comedy Romance,Ben Stiller Teri Polo Robert De Niro,Jay Roach
Marley & Me,Comedy Family,Owen Wilson Jennifer Aniston Eric Dane,David Frankel
The Green Mile,Fantasy Drama Crime,Tom Hanks Michael Clarke Duncan David Morse,Frank Darabont
Wild Hogs,Action Adventure Comedy,Tim Allen John Travolta Martin Lawrence,Walt Becker
Chicken Little,Animation Family Comedy,Zach Braff Joan Cusack Dan Molina,Mark Dindal
Gone Girl,Mystery Thriller Drama,Ben Affleck Rosamund Pike Carrie Coon,David Fincher
The Bourne Identity,Action Drama Mystery Thriller,Matt Damon Franka Potente Chris Cooper,Doug Liman
GoldenEye,Adventure Action Thriller,Pierce Brosnan Sean Bean Izabella Scorupco,Martin Campbell
The General's Daughter,Crime Drama Mystery Thriller,John Travolta Madeleine Stowe James Cromwell,Simon West
The Truman Show,Comedy Drama,Jim Carrey Laura Linney Noah Emmerich,Peter Weir
The Prince of Egypt,Adventure Animation Drama Family Music,Val Kilmer Ralph Fiennes Patrick Stewart,Simon Wells
Daddy Day Care,Comedy Family,Eddie Murphy Jeff Garlin Steve Zahn,Steve Carr
2 Guns,Action Comedy Crime,Denzel Washington Mark Wahlberg Paula Patton,Baltasar Kormákur
Cats & Dogs,Comedy Family,Jeff Goldblum Elizabeth Perkins Alexander Pollock,Lawrence Guterman
The Italian Job,Action Crime,Mark Wahlberg Charlize Theron Edward Norton,F. Gary Gray
Two Weeks Notice,Romance Comedy,Sandra Bullock Hugh Grant Alicia Witt,Marc Lawrence
Antz,Adventure Animation Comedy Family,Woody Allen Dan Aykroyd Anne Bancroft,Eric Darnell
Couples Retreat,Comedy Romance,Vince Vaughn Malin Åkerman Jason Bateman,Peter Billingsley
Days of Thunder,Adventure,Tom Cruise Robert Duvall Nicole Kidman,Tony Scott
Cheaper by the Dozen 2,Comedy,Steve Martin Eugene Levy Bonnie Hunt,Adam Shankman
Maze Runner: The Scorch Trials,Action,Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster,Wes Ball
Eat Pray Love,Drama,Julia Roberts James Franco Javier Bardem,Ryan Murphy
The Family Man,Comedy Drama Romance Fantasy,Nicolas Cage Téa Leoni Don Cheadle,Brett Ratner
RED,Action Adventure Comedy Crime Thriller,Bruce Willis John Malkovich Helen Mirren,Robert Schwentke
Any Given Sunday,Drama,Al Pacino Cameron Diaz Dennis Quaid,Oliver Stone
The Horse Whisperer,Drama Romance,Robert Redford Kristin Scott Thomas Sam Neill,Robert Redford
Collateral,Drama Crime Thriller,Tom Cruise Jamie Foxx Jada Pinkett Smith,Michael Mann
The Scorpion King,Action Fantasy Adventure,Dwayne Johnson Kelly Hu Michael Clarke Duncan,Chuck Russell
Ladder 49,Drama Action Thriller,Joaquin Phoenix John Travolta Jacinda Barrett,Jay Russell
Jack Reacher,Crime Drama Thriller,Tom Cruise Rosamund Pike Richard Jenkins,Christopher McQuarrie
Deep Blue Sea,Action Science Fiction Thriller,Thomas Jane Saffron Burrows LL Cool J,Renny Harlin
Michael Jackson's This Is It,Music Documentary,Michael Jackson Orianthi Kenny Ortega,Kenny Ortega
Contagion,Drama Thriller Science Fiction,Matt Damon Gwyneth Paltrow Kate Winslet,Steven Soderbergh
Kangaroo Jack,Comedy Adventure Crime,Jerry O'Connell Anthony Anderson Estella Warren,David McNally
Coraline,Animation Family,Dakota Fanning Teri Hatcher Jennifer Saunders,Henry Selick
The Happening,Thriller Science Fiction,Mark Wahlberg Zooey Deschanel John Leguizamo,M. Night Shyamalan
Man on Fire,Action Drama Thriller Crime,Denzel Washington Dakota Fanning Marc Anthony,Tony Scott
The Shaggy Dog,Comedy Family,Tim Allen Kristin Davis Danny Glover,Brian Robbins
Starsky & Hutch,Comedy Crime,Ben Stiller Owen Wilson Snoop Dogg,Todd Phillips
Jingle All the Way,Family Comedy,Arnold Schwarzenegger Phil Hartman Sinbad,Brian Levant
Hellboy,Fantasy Action Science Fiction,Ron Perlman Selma Blair Rupert Evans,Guillermo del Toro
A Civil Action,Drama,John Travolta Robert Duvall Tony Shalhoub,Steven Zaillian
ParaNorman,Family Animation Adventure Comedy,Kodi Smit-McPhee Tucker Albrizzi Jodelle Ferland,Sam Fell
The Jackal,Action Thriller Adventure Crime,Bruce Willis Richard Gere Sidney Poitier,Michael Caton-Jones
Paycheck,Action Adventure Mystery Science Fiction Thriller,Ben Affleck Aaron Eckhart Uma Thurman,John Woo
Up Close & Personal,Drama Romance,Robert Redford Michelle Pfeiffer Stockard Channing,Jon Avnet
The Tale of Despereaux,Adventure Animation Family,Matthew Broderick Dustin Hoffman Emma Watson,Robert Stevenhagen
The Tuxedo,Thriller Action Comedy Science Fiction,Jackie Chan Jennifer Love Hewitt Jason Isaacs,Kevin Donovan
Under Siege 2: Dark Territory,Action Thriller,Steven Seagal Eric Bogosian Everett McGill,Geoff Murphy
Jack Ryan: Shadow Recruit,Action Drama Thriller,Chris Pine Keira Knightley Kevin Costner,Kenneth Branagh
Joy,Drama Comedy,Jennifer Lawrence Bradley Cooper Robert De Niro,David O. Russell
London Has Fallen,Action Crime Thriller,Gerard Butler Aaron Eckhart Morgan Freeman,Babak Najafi
Alien: Resurrection,Science Fiction Horror Action,Sigourney Weaver Winona Ryder Brad Dourif,Jean-Pierre Jeunet
Shooter,Action Drama Mystery Thriller Crime,Mark Wahlberg Michael Peña Danny Glover,Antoine Fuqua
The Boxtrolls,Animation Comedy Family Fantasy,Ben Kingsley Isaac Hempstead-Wright Elle Fanning,Anthony Stacchi
Practical Magic,Drama Fantasy Comedy,Sandra Bullock Nicole Kidman Evan Rachel Wood,Griffin Dunne
The Lego Movie,Adventure Animation Comedy Family Fantasy,Chris Pratt Will Ferrell Elizabeth Banks,Phil Lord
Miss Congeniality 2: Armed and Fabulous,Action Comedy,Sandra Bullock Regina King Enrique Murciano,John Pasquin
Reign of Fire,Adventure Action Fantasy,Christian Bale Matthew McConaughey Izabella Scorupco,Rob Bowman
Gangster Squad,Crime Drama Action Thriller,Josh Brolin Ryan Gosling Nick Nolte,Ruben Fleischer
Year One,Comedy Adventure,Jack Black Michael Cera Olivia Wilde,Harold Ramis
Invictus,Drama History,Morgan Freeman Matt Damon Tony Kgoroge,Clint Eastwood
State of Play,Action,Russell Crowe Ben Affleck Rachel McAdams,Kevin Macdonald
Duplicity,Romance Comedy Crime,Clive Owen Julia Roberts Paul Giamatti,Tony Gilroy
My Favorite Martian,Comedy Drama Family Science Fiction,Jeff Daniels Elizabeth Hurley Daryl Hannah,Donald Petrie
The Sentinel,Action Thriller Crime,Michael Douglas Kiefer Sutherland Eva Longoria,Clark Johnson
Planet 51,Science Fiction Animation Family Comedy Adventure,Dwayne Johnson Seann William Scott Jessica Biel,Jorge Blanco
Star Trek: Nemesis,Science Fiction Action Adventure Thriller,Patrick Stewart Jonathan Frakes Brent Spiner,Stuart Baird
Intolerable Cruelty,Crime Comedy Romance,George Clooney Catherine Zeta-Jones Edward Herrmann,Joel Coen
Trouble with the Curve,Drama Romance,Clint Eastwood Amy Adams Justin Timberlake,Robert Lorenz
Edge of Darkness,Crime Drama Mystery Thriller,Mel Gibson Ray Winstone Danny Huston,Martin Campbell
The Relic,Horror Mystery Thriller,Penelope Ann Miller Tom Sizemore Linda Hunt,Peter Hyams
Analyze That,Comedy Crime,Robert De Niro Billy Crystal Lisa Kudrow,Harold Ramis
Righteous Kill,Action Crime Drama Thriller,Robert De Niro Carla Gugino 50 Cent,Jon Avnet
Mercury Rising,Action Crime Drama Thriller,Bruce Willis Alec Baldwin Miko Hughes,Harold Becker
The Soloist,Drama,Robert Downey Jr. Jamie Foxx Catherine Keener,Joe Wright
The Legend of Bagger Vance,Fantasy Drama,Matt Damon Bruce McGill Charlize Theron,Robert Redford
Almost Famous,Drama Music,Kate Hudson Billy Crudup Frances McDormand,Cameron Crowe
Garfield: A Tail of Two Kitties,Animation Comedy Family,Bill Murray Jennifer Love Hewitt Billy Connolly,Tim Hill
xXx: State of the Union,Action Adventure Crime Drama Mystery Thriller,Ice Cube Samuel L. Jackson Willem Dafoe,Lee Tamahori
Priest,Action Science Fiction Fantasy Thriller Horror,Paul Bettany Karl Urban Cam Gigandet,Scott Stewart
Sinbad: Legend of the Seven Seas,Family Animation Adventure,Brad Pitt Catherine Zeta-Jones Michelle Pfeiffer,Tim Johnson
Event Horizon,Horror Science Fiction Mystery,Laurence Fishburne Sam Neill Kathleen Quinlan,Paul W.S. Anderson
Dragonfly,Drama,Kevin Costner Joe Morton Ron Rifkin,Tom Shadyac
The Black Dahlia,Drama,Josh Hartnett Scarlett Johansson Aaron Eckhart,Brian De Palma
Flyboys,Action Adventure Drama History Romance War,James Franco David Ellison Jean Reno,Tony Bill
The Last Castle,Action Drama Thriller,Robert Redford James Gandolfini Mark Ruffalo,Rod Lurie
Supernova,Horror Science Fiction Thriller,James Spader Angela Bassett Robert Forster,Walter Hill
Winter's Tale,Drama Fantasy Mystery Romance,Colin Farrell Jessica Brown Findlay Russell Crowe,Akiva Goldsman
The Mortal Instruments: City of Bones,Action Adventure Drama Mystery Romance Fantasy,Lily Collins Jamie Campbell Bower Kevin Zegers,Harald Zwart
Meet Dave,Comedy Science Fiction Adventure Family,Eddie Murphy Elizabeth Banks Gabrielle Union,Brian Robbins
Dark Water,Drama Horror Thriller,Jennifer Connelly John C. Reilly Tim Roth,Walter Salles
Edtv,Comedy,Matthew McConaughey Woody Harrelson Sally Kirkland,Ron Howard
Inkheart,Adventure Family Fantasy,Brendan Fraser Sienna Guillory Andy Serkis,Iain Softley
The Spirit,Action Comedy Thriller Crime Science Fiction,Gabriel Macht Scarlett Johansson Samuel L. Jackson,Frank Miller
Mortdecai,Comedy Adventure,Johnny Depp Gwyneth Paltrow Ewan McGregor,David Koepp
In the Name of the King: A Dungeon Siege Tale,Adventure Fantasy Action Drama,Jason Statham John Rhys-Davies Ray Liotta,Uwe Boll
Beyond Borders,Drama Romance Adventure War,Angelina Jolie Clive Owen Teri Polo,Martin Campbell
西游记之孙悟空三打白骨精,Action Adventure Fantasy,Aaron Kwok Gong Li William Feng,Soi Cheang
The Great Raid,Action History War,Benjamin Bratt James Franco Connie Nielsen,John Dahl
Deadpool,Action Adventure Comedy,Ryan Reynolds Morena Baccarin Ed Skrein,Tim Miller
Holy Man,Drama Comedy,Eddie Murphy Jeff Goldblum Kelly Preston,Stephen Herek
American Sniper,War Action,Bradley Cooper Sienna Miller Kyle Gallner,Clint Eastwood
Goosebumps,Adventure Horror Comedy,Jack Black Dylan Minnette Odeya Rush,Rob Letterman
Just Like Heaven,Comedy Fantasy Romance,Reese Witherspoon Mark Ruffalo Donal Logue,Mark Waters
The Flintstones in Viva Rock Vegas,Science Fiction Comedy Family Romance,Mark Addy Stephen Baldwin Kristen Johnston,Brian Levant
